epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.692,1.97667,3.24025,1.87304,0.66045,0.4715,0.49243,0.17107,2.4118,2.19407,2.19992,0.000302489,0.000302489,0.000302489
2,165.58,1.8916,2.01909,1.80617,0.43023,0.4468,0.38134,0.10723,2.47031,2.40317,2.31828,0.000604898,0.000604898,0.000604898
3,247.895,1.87623,2.01341,1.81536,0.65218,0.52348,0.51061,0.17076,2.29348,1.85743,2.06931,0.000904943,0.000904943,0.000904943
4,329.822,1.82464,1.88351,1.76949,0.48937,0.47325,0.47565,0.15323,2.29056,1.8986,2.06954,0.00090103,0.00090103,0.00090103
5,411.61,1.77779,1.75968,1.72177,0.56593,0.6645,0.65053,0.23811,2.13291,1.59239,1.92815,0.000894864,0.000894864,0.000894864
6,494.352,1.72243,1.62025,1.68188,0.72579,0.5944,0.67538,0.28798,2.05119,1.41225,1.86346,0.000886978,0.000886978,0.000886978
7,576.417,1.67103,1.52914,1.6303,0.61265,0.66471,0.67407,0.27031,2.12993,1.42725,1.92699,0.000877403,0.000877403,0.000877403
8,658.148,1.63367,1.46937,1.6042,0.6627,0.6747,0.7064,0.28319,2.01768,1.35133,1.84448,0.000866176,0.000866176,0.000866176
9,739.978,1.58993,1.4001,1.56899,0.68561,0.66546,0.72094,0.28418,2.06655,1.31251,1.84245,0.000853344,0.000853344,0.000853344
10,821.776,1.58215,1.35905,1.57507,0.76397,0.67131,0.74206,0.30258,2.06011,1.27341,1.80497,0.000838955,0.000838955,0.000838955
11,903.758,1.54168,1.28369,1.53785,0.67638,0.75228,0.74226,0.31841,1.99875,1.14563,1.79379,0.000823066,0.000823066,0.000823066
12,985.915,1.50941,1.23543,1.51246,0.86926,0.67369,0.7725,0.31896,2.08066,1.15864,1.85657,0.000805741,0.000805741,0.000805741
13,1068.22,1.50595,1.21703,1.51196,0.76344,0.73645,0.76653,0.32625,1.99727,1.11654,1.76993,0.000787048,0.000787048,0.000787048
14,1150.12,1.47744,1.16538,1.49067,0.77343,0.76691,0.77238,0.28528,2.07306,1.14639,1.90192,0.00076706,0.00076706,0.00076706
15,1232.5,1.44318,1.12744,1.46401,0.83973,0.76695,0.82278,0.35804,1.95689,1.02532,1.74621,0.000745857,0.000745857,0.000745857
16,1314.32,1.43659,1.1075,1.45974,0.81639,0.75376,0.81288,0.36771,1.88323,1.01819,1.68576,0.000723522,0.000723522,0.000723522
